time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-05 00:00:00+00:00,5,2,51.0,1.0
2024-05-06 00:00:00+00:00,2,2,1.0,1.0
2024-05-07 00:00:00+00:00,1,1,,
2024-05-08 00:00:00+00:00,2,2,,
2024-05-09 00:00:00+00:00,5,2,2.0,1.0
2024-05-10 00:00:00+00:00,5,2,2.0,1.0
2024-05-11 00:00:00+00:00,1,1,4.0,2.0
2024-05-12 00:00:00+00:00,5,2,,
2024-05-13 00:00:00+00:00,6,3,8.0,3.0
2024-05-14 00:00:00+00:00,1,1,2.0,2.0
2024-05-15 00:00:00+00:00,1,1,52.0,7.0
2024-05-16 00:00:00+00:00,9,4,49.0,3.0
2024-05-17 00:00:00+00:00,5,2,66.0,7.0
2024-05-18 00:00:00+00:00,5,4,31.0,1.0
